"","ID","Worried","Restless","Irritable","Sad","Tired"
"1",1,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA
"7",7,0.160567463694532,0.159916203806427,0.161862122536952,0.410841056758668,5.55111512312578e-17
"8",8,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA
"10",10,0.210612468541167,0.145068024365626,0.159805296613428,0.167192528631849,0.250430022002542
"11",11,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA
"15",15,0.0229479899428386,0.131584366175115,0.1965936912335,0.190159579663778,0.246850038046395
"16",16,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA
"19",19,0.168826152323435,0.167639541427717,0.157338364435946,0.13467147098999,0.0701433257503497
"20",20,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA
"22",22,0.0813470400944007,0.147309143051383,0.159151519980377,0.126294780068145,0.140651122281921
"23",23,0.182854343146331,0.295661808577889,0.174056052360922,0.30267766134437,0.368764001010769
"24",24,0.0448564027278191,0.0199597637390838,0.0336423020458642,0.0346914241600858,0.228175326757289
"25",25,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA
"27",27,0.121003351087977,0.112218276075872,0.270572903194414,0.102739821852291,0.179618877003104
"28",28,0.130936566264989,0.169925265587003,0.177159578940722,0.167859588913515,0.0803421838462973
"29",29,NA,NA,NA,NA,NA
"30",30,0.00205118999091538,0.0196171322906032,0.0209876306981854,0.0146971588827182,0.0405477264158346
"31",31,0.0400425802393954,0.0407096580863735,0.106998544900198,0.0679543864730187,0.183340686779798
"32",32,0.184686641340013,0.303630531962874,0.294031266197651,0.247069219364552,0.252592982614119
"33",33,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA
"38",38,0.128088571325452,0.146490321282096,0.0105529193642246,0.206418714605227,0.17677339521285
"39",39,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA
"50",50,NA,NA,NA,NA,NA
"51",51,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA
"57",57,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA
"60",60,0.0632365270279274,0.0306719695291443,0.117461251078705,0.160723637091648,0.256203626109129
"61",61,0.0314629135533926,0.401279461245804,0.410806108012764,0.396058911390094,1.33226762955019e-15
