"","ID","Relaxed","Irritable","Worry","Nervous","Future","Anhedonia","Tired","Hungry","Alone","Angry"
"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,0.14618777451237,0.134619089368836,0.0778582672962995,0.153551034913569,0.115587414738336,0.1067100198975,0.279797806102128,0.123479808954171,0.314373614477983,0.250709076904129
"7",8,0.190538104702288,0.129474040336921,0.160244568631809,0.166942285332013,0.164231608595315,0.16394045123951,0.194748536340066,0.176891062494546,0.124650431832865,0.150671185276568
"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10,0.11524065880711,0.145374922498172,0.156434146101841,0.109485713299813,0.000288970424540013,0.000116606989353472,0.307183620049626,0.189949897627318,0.0182948249327595,0.150534855068671
"10",11,0.149481119404177,0.250705806640477,0.250643392542206,0.249291370954677,0.270152805920226,0.347353693546252,0.11107130285527,0.161158158313325,0.306057993713779,0.233345120583518
"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,0.325133531911772,0.390910557853681,0.311323989372258,0.276158039385039,0.290128095583064,0.252316381089297,0.240271298081789,0.309848055266902,0.0973081066127035,0.461867080311797
"13",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",17,0.160158870502596,0.141983827397995,0.113541287935072,0.138209456290841,0.149800987413147,0.12378310880815,0.0975339398550191,0.156681821482069,0.023019433150089,0.0798852022046183
"16",18,0.215886909000172,0.140894861699083,0.144807600742068,0.18007665762704,0.13843471976988,0.0831768965625322,0.23983533243795,0.215255607203613,0.166896112000026,0.167639851247038
"17",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22,0.181489266980188,0.153203105137391,0.251768025424379,0.172480297356728,0.317020592805896,0.0944797237979411,0.21992609282628,0.317605161264335,0.290693950280906,0.11028777901388
"20",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",24,0.18782505842216,0.194175935063942,0.236964050138916,0.137893633029849,0.106225010365889,0.0663042521204476,0.145702877460984,0.172524675903636,0.054249505177923,0.0520616412478808
"22",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
