"","ID","Nervous","Downhearted","Distressed","Happy","Relaxed","Content"
"1",1,0.228018902915958,0.110061809262338,0.077151429965708,0.0939730920997181,0.200471242295801,0.137307046052412
"2",2,0.227527845165913,0.134845501760249,0.0946614386286108,0.164316177012055,0.188376266689381,0.213451769498354
"3",3,0.1270029157315,0.115221354296181,0.140173223685843,0.0743585157338031,0.136271812855181,0.172920715927256
"4",4,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA
"6",6,0.0882564305975175,0.118174756323197,0.120578424002765,0.134804373703718,0.107245947449905,0.178871995805878
"7",7,0.152289903016446,0.104045279622624,0.220956079997789,0.137696040427805,0.17365286076482,0.233584542695697
"8",8,0.108644963629461,0.104755022402108,0.0900082929635832,0.123179237380916,0.133598063396924,0.103300998953813
"9",9,0.227728424660565,0.175224584887312,0.224996306738953,0.274243902978434,0.253235472539031,0.212963655733105
"10",10,0.0250558007913952,0.0644068901064688,0.112764124404836,0.145709511380654,0.190917378251521,0.15861583796322
"11",11,0.121391419535424,0.147847049670512,0.0706129476443428,0.112926298848582,0.100376304929528,0.0637121620733266
"12",12,0.33858279388834,0.153285101900387,0.203417743114742,0.171288470310717,0.197720684277501,0.188032816135409
"13",13,0.210968269564199,0.22519688115058,0.213891228184618,0.230826290368949,0.254788725862121,0.171743608889926
"14",14,0.259458396172246,0.196726444988675,0.18131046539471,0.0861440640695766,0.205185102778915,0.202050594221031
"15",15,0.158352909540408,0.143251654175109,0.186046384258058,0.0879611577344384,0.0844166890357005,0.12504870256007
"16",16,0.116774011022886,0.117884126997781,0.102445683171861,0.143913799894147,0.129637969080827,0.0920994998959975
"17",17,0.162517267904862,0.102182580690535,0.155025384455845,0.121586452732337,0.2441076631551,0.194558307302771
"18",18,0.214749166485131,0.144901452734545,0.100157941670012,0.119356325979978,0.119850144554603,0.0494356719291667
"19",19,0.105820616948492,0.115624112111786,0.108728451004908,0.114215633356287,0.218942449977921,0.163441441731222
"20",20,0.153360769284915,0.119314201231741,0.131224260587416,0.106053741082886,0.129565176257484,0.0928881671370541
"21",21,0.295158685006529,0.260061917981565,0.204400987009113,0.15823868340576,0.213778350697638,0.0883883477592978
"22",22,0.127527346795269,0.11171715317075,0.13047795942973,0.0867601236646947,0.198429439960681,0.22221507553483
"23",23,NA,NA,NA,NA,NA,NA
"24",24,0.195114482560385,0.109607441622248,0.125570298570485,0.225943824407249,0.105445949760835,0.193355877799512
"25",25,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA
"28",28,0.164674570654583,0.126439615883883,0.104827777346497,0.127174190466929,0.193970052969163,0.153869183485208
"29",29,0.192508116834752,0.191071133424316,0.114930290569985,0.226846582254908,0.140922776815129,0.176519933358451
"30",30,0.135031621936287,0.148173944407693,0.147588479862499,0.0117751123597492,0.121097752410276,0.0949164286111483
"31",31,0.231871005838281,0.114820089640169,0.170835583919133,0.208107280919328,0.169084746333825,0.158152203771819
"32",32,0.193952391965404,0.126068071140546,0.132293578222116,0.151247986579203,0.129227575340834,0.141994013789013
"33",33,0.225707887667998,0.200327835279591,0.124642695663808,0.10501938321755,0.114786436886787,0.113794627903403
"34",34,0.281794645443639,0.181453878401726,0.168856726634426,0.152844859398994,0.088180969694795,0.179756279867135
"35",35,0.251987705046082,0.20455507561339,0.122628250600084,0.249226782442468,0.225167075848469,0.291887395317677
"36",36,0.118186912358529,0.177472929574571,0.160784736688619,0.0744123387878112,0.0950549856776269,0.0910707582794366
"37",37,0.128167417552828,0.0743435326027609,0.0974195707968226,0.0868379480835479,0.0900963655535403,0.146334426578408
"38",38,0.181870251715403,0.183744357121111,0.275265269414603,0.161194597865842,0.16673847150062,0.126240357915579
"39",39,NA,NA,NA,NA,NA,NA
"40",40,0.0734530671683567,0.248741409372651,0.216369283589795,0.190204194318583,0.226259594499937,0.214482470148774
"41",41,0.256483837037117,0.162053957950308,0.226305645934832,0.099906881435178,0.249015277211919,0.143465365090594
"42",42,0.188873124321783,0.0140403869736445,0.0550259110461755,0.0937356548101886,0.12491076713203,0.134204697157458
"43",43,0.0981101197131753,0.0990208044530791,0.112530263183172,0.185775247989783,0.12405519922354,0.13575297922026
"44",44,1.28075301901056e-09,0.0090090138889947,7.65608437610329e-08,0.0083237510051411,0.0986076295053269,0.0124856265077118
"45",45,0.0929171668294602,0.204723689852446,0.112040743247042,0.146568133839436,0.162498129976236,0.103606603993059
"46",46,0.0861322749986455,0.115038356880689,0.0415308030398791,0.109501769966126,0.100060947904587,0.13231347368663
"47",47,NA,NA,NA,NA,NA,NA
"48",48,0.0678862751166238,0.129933293168415,0.140109908670589,0.169582497571438,0.235212792708704,0.185481035706558
"49",49,0.321236150406177,0.141304650300484,0.244394881374094,0.186693061297277,0.211504559190502,0.237286525745715
"50",50,0.266351724615966,0.100561054385456,0.103325787651929,0.149263527889865,0.160244776661678,0.185919506225639
"51",51,0.151527467271149,0.15207119426326,0.0930300980642673,0.0852523378924667,0.136756998438603,0.131936427630233
"52",52,0.349554667983209,0.202860867605898,0.229268225439013,0.150403648109902,0.117695710738353,0.158119624640173
"53",53,0.193818158328739,0.0486253119056908,0.12624646750513,0.105751444896907,0.101526841576054,0.0806964590107739
"54",54,NA,NA,NA,NA,NA,NA
